[INFO ] 2021-11-20 18:21:25,330 Listeners.onTestSuccess() - suceffuly passed testcase: validateHomePageTitleTestin method: validateHomePageTitleTest
[INFO ] 2021-11-20 18:21:29,059 LoginPageTest.setUp() - driver invoked and launched browser succefully
[INFO ] 2021-11-20 18:21:29,065 LoginPageTest.loginPageTitleTest() - sucessfully validated the title
[INFO ] 2021-11-20 18:21:29,065 Listeners.onTestSuccess() - suceffuly passed testcase: loginPageTitleTestin method: loginPageTitleTest
[INFO ] 2021-11-20 18:21:44,385 Listeners.onTestSuccess() - suceffuly passed testcase: createnewContactTestin method: createnewContactTest
[INFO ] 2021-11-20 18:22:01,156 Listeners.onTestSuccess() - suceffuly passed testcase: createnewContactTestin method: createnewContactTest
[INFO ] 2021-11-20 18:22:17,919 Listeners.onTestSuccess() - suceffuly passed testcase: createnewContactTestin method: createnewContactTest
[INFO ] 2021-11-20 18:22:35,544 Listeners.onTestSuccess() - suceffuly passed testcase: createnewContactTestin method: createnewContactTest
[INFO ] 2021-11-20 18:22:47,114 Listeners.onTestSuccess() - suceffuly passed testcase: validateUserNameTestin method: validateUserNameTest
[INFO ] 2021-11-20 18:22:50,849 LoginPageTest.setUp() - driver invoked and launched browser succefully
[INFO ] 2021-11-20 18:23:01,165 Listeners.onTestSuccess() - suceffuly passed testcase: LoginTestin method: LoginTest
[ERROR] 2021-11-20 18:23:26,694 Listeners.onTestFailure() -  failed testcase: selectContactTest
[INFO ] 2021-11-20 18:23:42,917 Listeners.onTestSuccess() - suceffuly passed testcase: clickOnContanctsTestin method: clickOnContanctsTest
